# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
222           	1.578676e-01	4.139437e-01	6.686527e-02	1.913002e-01	-1.244349e-01
223           	1.580407e-01	4.141935e-01	6.704592e-02	1.915637e-01	-1.245177e-01
224           	1.581760e-01	4.144961e-01	6.711590e-02	1.917339e-01	-1.246180e-01
225           	1.583106e-01	4.148814e-01	6.725890e-02	1.919401e-01	-1.246812e-01
226           	1.584052e-01	4.152507e-01	6.729372e-02	1.920521e-01	-1.247584e-01
227           	1.585249e-01	4.156671e-01	6.738143e-02	1.922156e-01	-1.248342e-01
228           	1.585926e-01	4.160256e-01	6.728198e-02	1.922335e-01	-1.249516e-01
229           	1.586524e-01	4.163534e-01	6.719658e-02	1.922507e-01	-1.250541e-01
230           	1.586679e-01	4.165917e-01	6.696183e-02	1.921488e-01	-1.251870e-01
231           	1.586755e-01	4.167755e-01	6.677930e-02	1.920651e-01	-1.252858e-01
232           	1.586225e-01	4.168386e-01	6.649204e-02	1.918685e-01	-1.253765e-01
233           	1.585580e-01	4.168414e-01	6.632352e-02	1.917198e-01	-1.253962e-01
234           	1.584721e-01	4.167600e-01	6.610861e-02	1.915264e-01	-1.254178e-01
235           	1.584063e-01	4.166666e-01	6.601230e-02	1.914124e-01	-1.254001e-01
236           	1.583125e-01	4.165055e-01	6.584483e-02	1.912349e-01	-1.253900e-01
237           	1.582025e-01	4.163048e-01	6.577974e-02	1.910924e-01	-1.253127e-01
238           	1.580603e-01	4.160334e-01	6.568201e-02	1.909013e-01	-1.252193e-01
239           	1.579311e-01	4.157891e-01	6.573840e-02	1.908003e-01	-1.250619e-01
240           	1.577783e-01	4.155005e-01	6.574277e-02	1.906497e-01	-1.249069e-01
241           	1.576194e-01	4.152229e-01	6.586360e-02	1.905512e-01	-1.246876e-01
242           	1.574538e-01	4.149212e-01	6.588952e-02	1.903985e-01	-1.245090e-01
243           	1.573385e-01	4.147034e-01	6.606000e-02	1.903685e-01	-1.243085e-01
244           	1.571963e-01	4.144489e-01	6.613042e-02	1.902616e-01	-1.241311e-01
245           	1.571109e-01	4.142949e-01	6.630249e-02	1.902621e-01	-1.239596e-01
246           	1.570351e-01	4.141304e-01	6.639349e-02	1.902318e-01	-1.238383e-01
247           	1.570256e-01	4.140833e-01	6.659285e-02	1.903220e-01	-1.237291e-01
248           	1.569928e-01	4.140029e-01	6.664424e-02	1.903150e-01	-1.236707e-01
249           	1.570095e-01	4.140080e-01	6.677942e-02	1.903992e-01	-1.236198e-01
250           	1.569999e-01	4.139721e-01	6.681937e-02	1.904096e-01	-1.235902e-01
251           	1.570526e-01	4.140288e-01	6.698315e-02	1.905442e-01	-1.235611e-01
252           	1.570553e-01	4.140329e-01	6.698976e-02	1.905502e-01	-1.235605e-01
253           	1.570859e-01	4.140789e-01	6.711426e-02	1.906430e-01	-1.235288e-01
254           	1.570865e-01	4.140793e-01	6.711128e-02	1.906421e-01	-1.235308e-01
255           	1.571215e-01	4.141378e-01	6.722650e-02	1.907348e-01	-1.235083e-01
256           	1.571151e-01	4.141417e-01	6.720251e-02	1.907163e-01	-1.235138e-01
257           	1.571279e-01	4.141570e-01	6.733065e-02	1.907932e-01	-1.234626e-01
